p,q,q1_0,q1_1,q2_10,q2_00,q2_11,q2_01,m0,m1,m2,D_vals
0.628873418510303,0,0.17669622153721726,0.0,0.265044332305807,0.0,0,0.0,0.1,0.1,0.11499999999999999,0.0018567119353869817
0.6416746999476264,0,0.2084094863382751,0.0,0.3126142295075815,0.0,0,0.0,0.11794871794871796,0.11794871794871796,0.13564102564102565,0.001726148926440174
0.6550075196374842,0,0.2401224098188055,0.0,0.36018361472903315,0.0,0,0.0,0.13589743589743591,0.13589743589743591,0.15628205128205128,0.0016034643669631588
0.6689057081334033,0,0.27183502838998663,0.0,0.40775254258798227,0.0,0,0.0,0.15384615384615385,0.15384615384615385,0.17692307692307693,0.0014883799639090318
0.6834060286607,0,0.3035473774422698,0.0,0.4553210661599582,0.0,0,0.0,0.1717948717948718,0.1717948717948718,0.19756410256410256,0.0013806118507607725
0.6985485019637344,0,0.33525949133489324,0.0,0.5028892369995426,0.0,0,0.0,0.18974358974358976,0.18974358974358976,0.21820512820512822,0.0012798719596456988
0.7143767752454073,0,0.3669714034100202,0.0,0.5504571051134967,0.0,0,0.0,0.2076923076923077,0.2076923076923077,0.23884615384615385,0.0011858693537088448
0.7309385424737648,0,0.39868314598479,0.0,0.5980247189770554,0.0,0,0.0,0.22564102564102567,0.22564102564102567,0.2594871794871795,0.001098311511274631
0.7482860245003888,0,0.4303947503540928,0.0,0.6455921255291999,0.0,0,0.0,0.2435897435897436,0.2435897435897436,0.28012820512820513,0.0010169055543918888
0.766476519209653,0,0.46210624678673573,0.0,0.693159370180817,0.0,0,0.0,0.26153846153846155,0.26153846153846155,0.3007692307692308,0.0009413594154744101
0.7855730338757615,0,0.49381766453297643,0.0,0.7407264968005853,0.0,0,0.0,0.2794871794871795,0.2794871794871795,0.3214102564102564,0.0008713829368678248
0.8056450144742646,0,0.5255290318197918,0.0,0.7882935477248116,0.0,0,0.0,0.2974358974358975,0.2974358974358975,0.3420512820512821,0.0008066888992877846
0.8267691897168632,0,0.5572403758437128,0.0,0.835860563771991,0.0,0,0.0,0.3153846153846154,0.3153846153846154,0.36269230769230765,0.0007469939761445331
0.8490305513815828,0,0.588951722795076,0.0,0.8834275841958797,0.0,0,0.0,0.33333333333333337,0.33333333333333337,0.38333333333333336,0.0006920196117871165
0.8725234974734641,0,0.620663097828245,0.0,0.9309946467442138,0.0,0,0.0,0.35128205128205137,0.35128205128205137,0.403974358974359,0.0006414928226674488
0.8973531704753585,0,0.6523745250820244,0.0,0.9785617876192177,0.0,0,0.0,0.36923076923076925,0.36923076923076925,0.4246153846153846,0.0005951469212753114
1,0,0.6318471874244127,0.0,1.0,0.25768734921162323,0,0.0,0.38717948717948725,0.38717948717948725,0.4452564102564103,0.0005513671036006921
1,0,0.6810862494725013,0.0,1.0,0.32065665571315705,0,0.0,0.40512820512820513,0.40512820512820513,0.4658974358974359,0.0005103335854754067
1,0,0.7333890753813601,0.0,1.0,0.4130190317861819,0,0.0,0.42307692307692313,0.42307692307692313,0.4865384615384616,0.00047299036153095194
1,0,0.7890507983669348,0.0,1.0,0.5616202700754828,0,0.0,0.4410256410256411,0.4410256410256411,0.5071794871794872,0.00043912104922777545
1,0,0.8484057162425471,0.0,1.0,0.8403080706893448,0,0.0,0.458974358974359,0.458974358974359,0.5278205128205128,0.00040851172590283
1,1,0.4769593287445209,0.0,1.0,1.0,1,0.053487691454044986,0.476923076923077,0.476923076923077,0.5484615384615386,0.00045377787266679575
1,1,0.49490941100909963,0.0,1.0,1.0,1,0.12952684926525415,0.4948717948717949,0.4948717948717949,0.5691025641025641,0.0004365433879714648
1,1,0.5128594932736784,0.0,1.0,1.0,1,0.20024334220603748,0.5128205128205129,0.5128205128205129,0.5897435897435898,0.0004201987228379279
1,1,0.530809575538257,0.0,1.0,1.0,1,0.26617717669255564,0.5307692307692308,0.5307692307692308,0.6103846153846153,0.0004047015326174947
1,1,0.5487596578028359,0.0,1.0,1.0,1,0.32779770288416893,0.5487179487179488,0.5487179487179488,0.6310256410256411,0.0003900110981410405
1,0,1.0,0.23537012953073186,1.0,1.0,1,0.19636666852392237,0.5666666666666668,0.5666666666666668,0.6516666666666667,0.00033142626736039625
1,0,1.0,0.28954969609419917,1.0,1.0,1,0.21134100291644778,0.5846153846153846,0.5846153846153846,0.6723076923076923,0.00032351587230829924
1,0,1.0,0.34050154379856656,1.0,1.0,1,0.22766788567591906,0.6025641025641026,0.6025641025641026,0.692948717948718,0.0003158155727457176
1,0,1.0,0.3885057639497885,1.0,1.0,1,0.24553923000326872,0.6205128205128205,0.6205128205128205,0.7135897435897436,0.00030832318686083447
1,0,1.0,0.43381095164270905,1.0,1.0,1,0.2651850595223817,0.6384615384615385,0.6384615384615385,0.7342307692307692,0.0003010365364323608
1,0,1.0,0.47663851188367273,1.0,1.0,1,0.28688346249504004,0.6564102564102564,0.6564102564102564,0.7548717948717948,0.00029395344712285877
1,0,1.0,0.5171862780433687,1.0,1.0,1,0.3109738379809722,0.6743589743589744,0.6743589743589744,0.7755128205128206,0.000287071748769223
1,0,1.0,0.5556315674392285,1.0,1.0,1,0.3378747781539157,0.6923076923076924,0.6923076923076924,0.7961538461538462,0.00028038927567028806
1,0,1.0,0.5921337736165248,1.0,1.0,1,0.3681085971422358,0.7102564102564103,0.7102564102564103,0.8167948717948718,0.00027390386687152507
1,0,1.0,0.6268365752639545,1.0,1.0,1,0.40233557884413207,0.7282051282051283,0.7282051282051283,0.8374358974358974,0.00026761336644680404
1,0,1.0,0.6598698263166625,1.0,1.0,1,0.441402754118985,0.7461538461538462,0.7461538461538462,0.8580769230769231,0.00026151562377718776
1,0,1.0,0.6913511796689077,1.0,1.0,1,0.48641494582693173,0.7641025641025642,0.7641025641025642,0.8787179487179487,0.0002556084938267343
1,0,1.0,0.721387487293509,1.0,1.0,1,0.5388409184762374,0.7820512820512822,0.7820512820512822,0.8993589743589744,0.0002498898374152822
1,0,1.0,0.7500760118836728,1.0,1.0,1,0.6006766853730813,0.8,0.8,0.9199999999999999,0.00024435752148819383
